No,Nama Kegiatan,Tanggal,Uraian Kegiatan
1,Persiapan & Orientasi Modul,"Senin, 02 Feb 2026","Mempelajari struktur proyek BIMA, memahami arsitektur multi-tenant, menelaah codebase backend dan frontend yang sudah ada"
2,Analisis Kebutuhan Fitur,"Selasa, 03 Feb 2026","Menganalisis kebutuhan fitur Jurnal COA, setting perusahaan, dan master data yang akan dikerjakan"
3,Setup Lingkungan Pengembangan,"Rabu, 04 Feb 2026","Menyiapkan environment development lokal, konfigurasi database, dan memastikan semua dependency berjalan"
4,Pengembangan Jurnal COA & Master Data,"Kamis, 05 Feb 2026","Mengerjakan fitur Jurnal COA, setting perusahaan, konfigurasi API, master gudang, master barang, dan template pesan WhatsApp (commit: jurnalCOA setting perusahaan, master gudang master barang, template pesan)"
5,Pengembangan Modul Inventory,"Jumat, 06 Feb 2026","Mengerjakan fitur inventory barang meliputi CRUD data stok, pengelolaan gudang, dan integrasi dengan modul penjualan (commit: inventory)"
6,Pengembangan Nota Project,"Sabtu, 07 Feb 2026","Mengerjakan fitur nota project untuk manajemen transaksi berbasis proyek, termasuk form tambah dan detail nota (commit: nota project)"
7,Review & Testing Fitur Login,"Senin, 09 Feb 2026","Mengerjakan fitur login karyawan dan halaman log aktivitas pengguna, melakukan testing alur autentikasi (commit: login&log aktivitas, upd login)"
8,Pengembangan Modul Produk,"Selasa, 10 Feb 2026","Mengerjakan fitur manajemen produk meliputi CRUD produk, kategori, dan harga jual (commit: produk)"
9,Pengembangan Foto & Data Karyawan,"Rabu, 11 Feb 2026","Menambahkan kolom gambar di tabel karyawan, fitur upload foto profil karyawan, dan pengelolaan produk berdasarkan ID toko (commit: foto karyawan, add gambar di table karyawan, id toko dan pilih toko di produk)"
10,Pengembangan Laporan Penggunaan Bahan,"Kamis, 12 Feb 2026","Mengerjakan fitur laporan penggunaan bahan baku produksi dengan filter tanggal dan export data (commit: laporan penggunaan bahan)"
11,Integrasi Google Auth Karyawan,"Jumat, 13 Feb 2026","Mengintegrasikan Google OAuth untuk proses sign up dan sign in karyawan pada sistem BIMA (commit: google auth, sign up/sign in karyawan)"
12,Pengembangan Modul Absensi,"Sabtu, 14 Feb 2026","Mengerjakan fitur absensi karyawan dan halaman data absen, termasuk pencatatan waktu masuk dan keluar (commit: absen_data absen)"
13,Perbaikan Absen & Mapping Lokasi,"Senin, 16 Feb 2026","Memperbaiki bug pada fitur absensi dan mapping lokasi check-in/check-out karyawan berbasis koordinat GPS (commit: septian_fix absen mapping lokasi)"
14,Pengembangan Reject & Mapping,"Selasa, 17 Feb 2026","Mengerjakan fitur reject transaksi pembelian dan mapping data supplier ke sistem (commit: reject & mapping)"
15,Pengembangan PO & Material Request & Piutang Supplier,"Rabu, 18 Feb 2026","Mengerjakan Purchase Order, Material Request, modul piutang supplier (auto-create saat PO disetujui), laporan piutang dengan modal detail, fitur cetak dan export Excel log aktivitas, perbaikan rekap absensi dan shift mapping, perbaikan alur pembayaran parsial (commit: PO, material req, upd master data, feat: piutang supplier, feat: log activity excel export, fix: API path piutang supplier)"
16,Pengembangan Grup Mapping,"Kamis, 19 Feb 2026","Mengerjakan fitur grup mapping untuk pengelompokan karyawan dan pengelolaan hak akses berbasis grup (commit: grup mapping)"
17,Update PO & Tukar Shift,"Jumat, 20 Feb 2026","Memperbarui fitur Purchase Order dan mengerjakan fitur tukar shift antar karyawan (commit: upd PO & Tukar shift)"
18,Testing & Bug Fix PO,"Sabtu, 21 Feb 2026","Melakukan pengujian menyeluruh fitur Purchase Order, memperbaiki bug validasi dan kalkulasi total PO"
19,Perbaikan Tukar Shift Beda Tanggal,"Senin, 23 Feb 2026","Memperbaiki logika tukar shift antar karyawan pada tanggal yang berbeda, memastikan tidak ada konflik jadwal (commit: tukar shift beda tanggal)"
20,Mobile View Master Data & Gudang,"Selasa, 24 Feb 2026","Mengerjakan tampilan responsif mobile untuk halaman master data dan gudang utama (commit: mobile master data & gudang utama)"
21,Update Master Data & Absen & Gudang,"Rabu, 25 Feb 2026","Memperbarui fitur master data karyawan, absensi, dan pengelolaan gudang utama (commit: master data, absen & gudang utama)"
22,Mobile View PO & Sorting,"Kamis, 26 Feb 2026","Memperbaiki tampilan mobile untuk Purchase Order dan modal item, menambahkan fitur sorting data (commit: PO mobile, feat: update mobile UI styling PO, feat: merge mobile-view with sorting)"
23,Perbaikan Tampilan Mobile Nota,"Jumat, 27 Feb 2026","Memperbaiki tampilan mobile pada halaman nota, master data, dan gudang utama (commit: fix tampilan mobile nota master data & gudang utama)"
24,Fitur Trial & Reset Password,"Sabtu, 28 Feb 2026","Mengerjakan fitur masa trial tenant (14 hari), reset password, dan perbaikan tampilan nota (commit: fitur trial & reset password, fix tampilan nota, upd tampilan mobile master data gudang utama)"
25,Pengembangan Flow SaaS Baru,"Senin, 02 Mar 2026","Mengerjakan alur baru pendaftaran dan onboarding SaaS termasuk halaman registrasi tenant dan pemilihan plan (commit: flow saas baru)"
26,Analisis & Desain Subscription System,"Selasa, 03 Mar 2026","Menganalisis dan mendesain sistem subscription, alur pembayaran, dan manajemen invoice untuk tenant"
27,Pengembangan Backend Subscription,"Rabu, 04 Mar 2026","Mengerjakan backend API untuk manajemen subscription, endpoint perpanjang plan, dan kalkulasi tagihan"
28,Pengembangan Frontend Subscription,"Kamis, 05 Mar 2026","Mengerjakan halaman frontend untuk subscription tenant, tampilan status langganan dan notifikasi jatuh tempo"
29,Subscription Invoice & Reset Password Panel,"Jumat, 06 Mar 2026","Mengerjakan halaman invoice subscription dan panel reset password untuk admin SaaS (commit: subs invoice & reset pass panel)"
30,Update Logika Subscription & Upgrade Plan,"Sabtu, 07 Mar 2026","Memperbarui logika perpanjang dan upgrade plan subscription tenant, termasuk kalkulasi prorata (commit: upd subs, upgrade & perpanjang plan)"
31,Review & Testing Subscription Flow,"Senin, 09 Mar 2026","Melakukan pengujian menyeluruh alur subscription, upgrade plan, dan perpanjangan langganan"
32,Google Auth SaaS & Fix Addon,"Selasa, 10 Mar 2026","Mengintegrasikan Google Auth untuk panel SaaS, memperbaiki batasan addon user & toko, dan menghapus fitur trial lama (commit: google auth saas, fix addon user & toko, fix batasan & hapus trial)"
33,Update Flow Demo & Limitasi Hak Akses,"Rabu, 11 Mar 2026","Memperbarui alur demo ke plan berbayar, implementasi limitasi hak akses halaman dan storage per plan (commit: upd: flow demo ke plan, limitasi hak akses & storage)"
34,Testing Hak Akses & Storage Limit,"Kamis, 12 Mar 2026","Melakukan pengujian fitur limitasi hak akses, memastikan tenant tidak dapat mengakses fitur di luar plan yang dipilih"
35,Pengembangan Addons & Invoice Detail,"Jumat, 13 Mar 2026","Melanjutkan fungsi addons modul halaman dan storage, setting harga addons di admin, menambah detail item invoice, dan perbaikan cron renewal (commit: melanjutkan fungsi addons modul halaman storage & setting harga addons di admin, menambah detail item invoice & fix cron renewal)"
36,Testing & Bug Fix Addons,"Sabtu, 14 Mar 2026","Melakukan pengujian fitur addons, memperbaiki bug pada kalkulasi harga dan aktivasi modul tambahan"
37,Perbaikan Bug Addons Lanjutan,"Senin, 16 Mar 2026","Melanjutkan perbaikan bug pada sistem addons, memastikan integrasi dengan cron renewal berjalan dengan benar"
38,Update Addons & Mobile View Detail Nota,"Selasa, 17 Mar 2026","Memperbarui fitur addons dan mengerjakan tampilan mobile untuk halaman detail nota transaksi (commit: upd addons & mobile view detail nota)"
39,Review & Dokumentasi Fitur Addons,"Rabu, 18 Mar 2026","Melakukan review menyeluruh fitur addons, mendokumentasikan alur bisnis dan API endpoint yang dibuat"
40,Testing Integrasi SaaS,"Kamis, 19 Mar 2026","Melakukan pengujian integrasi seluruh fitur SaaS: subscription, addons, hak akses, dan invoice"
41,Bug Fix & Optimasi SaaS,"Jumat, 20 Mar 2026","Memperbaiki bug yang ditemukan saat testing integrasi, optimasi query database untuk halaman admin SaaS"
42,Perbaikan UI/UX SaaS Panel,"Sabtu, 21 Mar 2026","Memperbaiki tampilan dan pengalaman pengguna pada panel admin SaaS, menyesuaikan dengan desain yang telah disepakati"
